id,code,status
1813,1279,0
1814,1280,0
1815,1281,0
1816,2000,0
1817,1282,0
1818,1284,0
1819,1285,0
1820,1286,0
1821,1287,0
1822,1288,0
1825,1293,0
1826,1294,0
1827,1295,0
1828,1296,0
1830,1296,0
1831,1297,0
1832,1298,0
1833,1299,0
1834,1300,0
1835,1301,0
1836,1302,0
1837,1304,0
1838,1305,0
1841,1306,0
1842,1307,0
1843,1307,0
1844,1312,0
1845,1313,0
1846,1314,0
1847,1317,0
1848,1317,0
1851,1320,0
1856,1321,0
1857,1322,0
1858,1323,0
1860,1327,0
1861,1330,0
1862,1331,0
1863,1332,0
1864,1333,0
1865,1387,0
1866,1387,0
1867,1389,0
1869,1391,0
1870,1541,0
1871,1545,0
1874,1548,0
1875,1571,0
1876,1571,0
1880,1573,0
1881,1576,0
1882,1577,0
1883,1584,0
1886,1599,0
1889,1608,0
1890,1692,0
1891,1723,0
1892,1740,0
1893,1788,0
1894,1827,0
1895,1847,0
1896,1856,0
1898,1857,0
1899,1858,0
1900,1859,0
1901,1860,0
1902,1861,0
1903,1863,0
1904,1867,0
1905,1868,0
1907,1868,0
1908,1870,0
1909,1891,0
1910,1887,0
1911,1887,0
1912,1898,0
1913,1905,0
1915,1905,0
1916,1905,0
1917,1905,0
1918,1907,0
1919,1908,0
1920,1912,0
1921,1916,0
1922,1913,0
1923,1925,0
1924,1986,0
1925,1986,0
1926,1992,0
1928,1988,0
1929,1994,0
1930,1997,0
1933,1999,0
1934,1999,0
1935,2001,0
1936,2001,0
1937,2001,0
1938,2001,0
1939,2001,0
1940,2003,0
1941,2006,0
1942,2007,0
1943,2008,0
1944,2010,0
1945,2014,0
1946,2017,0
1947,2031,0
1948,2031,0
1949,2052,0
1951,2059,0
1952,2061,0
1953,2068,0
1955,2103,0
1956,2186,0
1957,2191,0
1958,2196,0
1962,2200,0
1963,2201,0
1964,2269,0
1965,2329,0
1967,2335,0
1969,2347,0
1971,2348,0
1972,2348,0
1973,2441,0
1974,2472,0
1975,2528,0
1976,2534,0
1977,2548,0
1978,2586,0
1979,2647,0
1980,2660,0
1981,2667,0
1982,2668,0
1983,2669,0
1984,7006,0
1985,2670,0
1986,2671,0
1987,2672,0
1988,2673,0
1989,2674,0
1990,2675,0
1991,2676,0
1992,2677,0
1993,2678,0
1994,2679,0
1995,2680,0
1996,2681,0
1997,2682,0
1998,2683,0
1999,2684,0
2000,7007,0
2001,2685,0
2002,2686,0
2003,2687,0
2004,2688,0
2005,2689,0
2006,2690,0
2007,2691,0
2008,2692,0
2009,2693,0
2010,2694,0
2011,2694,0
2012,2696,0
2013,2697,0
2014,2698,0
2015,2699,0
2016,2700,0
2017,2701,0
2018,2702,0
2019,2703,0
2020,2704,0
2021,2705,0
2022,2706,0
2023,2707,0
2024,2708,0
2025,2709,0
2026,2710,0
2027,2711,0
2028,2712,0
2029,2713,0
2030,2714,0
2031,2715,0
2032,2716,0
2033,2717,0
2034,2718,0
2035,2719,0
2036,2720,0
2037,2720,0
2038,2722,0
2039,2723,0
2040,2724,0
2041,2725,0
2042,2726,0
2043,2726,0
2044,2728,0
2045,2729,0
