id,product_id,store_id,quantity,type,cost_price
3221,F3Y-730-7/M,ST,1,-,0
3222,SSA925C051R,ST,61,-,0
3223,SSA521A021C,ST,2,-,0
3224,SSA925C051C,ST,27,-,0
3225,SSA431J013A,ST,2,+,249.75
3226,38615900,ST,1,-,0
3227,M3MSH-9036,WD,5,+,5
3228,38617455,ST,1,+,31.17
3229,38615900,ST,2,-,0
3230,DSP-08,ST,94,+,3.25
3231,SSA352F043,ST,3,-,0
3232,B2B28,ST,2,-,0
3233,F5-TU42-O,ST,1,-,0
3234,45593,ST,1,-,0
3235,70842,ST,2,+,40.51
3236,C7-8913-74/WT,ST,16,+,3.5
3237,GN608-1-8-8,ST,2,-,0
3238,60-60045,ST,1,-,0
3239,105-2007,DL,3,+,47
3240,29816,ST,40,-,0
3241,TLB423C004B,ST,10,+,15
3242,SSA512K009,ST,1,-,0
3243,SSA521A024A,ST,8,+,8.5
3244,38623738,ST,2,-,0
3245,071324718C,ST,10,-,0
3246,TLB423C004B,ST,10,-,0
3247,38615900,ST,2,-,0
3248,60-60031,ST,2,-,0
3249,SSA431J014A,ST,1,+,259.88
3250,38623738,ST,2,-,0
3251,SSA512K009,ST,1,-,0
3252,SSA383B301F,WD,1,-,0
3253,10-22-639,ST,3,+,36.62
3254,53765,ST,1,+,4.05
3255,R1047-0407,ST,3,-,0
3256,E2415164P,ST,1,+,3.9
3257,E2415164P,ST,1,+,3.9
3258,SSA925C051R,ST,10,-,0
3259,E2415164P,ST,2,+,3.9
3260,E2415164P,ST,2,+,3.9
3261,E2415164P,ST,2,+,3.9
3262,53765,ST,12,+,4.05
3263,MM431579,ST,3,-,0
3264,38623737,ST,1,+,19.65
3265,SSA925C051C,ST,28,-,0
3266,38623738,ST,1,-,0
3267,38623738,ST,1,-,0
3268,38623738,ST,1,-,0
3269,E2415164P,ST,2,+,3.9
3270,TD14CXH2,ST,1,-,0
3271,TCP11FOR,ST,5,+,2.76
3272,38623738,ST,1,-,0
3273,38623738,ST,1,-,0
3274,ACA272C008,ST,1,-,0
3275,MM438-80701,ST,4,+,19.5
3276,38623738,ST,10,-,0
3277,SSA512K009,ST,5,-,0
3278,B4IPA,ST,50,-,0
3279,TCP18C2-KT2,DL,1,+,176.96
3280,"H1handle8""",WD,3,-,0
3281,60091S,DL,1,+,2.4
3282,53705,ST,15,-,0
3283,71922483,ST,60,+,13.89
3284,B2A53,WD,1,-,0
3285,B2A60,ST,1,-,0
3286,60091S,ST,3,-,0
3287,F3Y-730-5/M,ST,2,-,0
3288,R1047-0407,ST,1,-,0
3289,38623737,ST,10,+,20.25
3290,SAA512A072,ST,11,+,12.25
3291,SAA512A072,ST,4,+,12.25
3292,SSA925C051C,ST,40,-,0
3293,ACA272C008,ST,1,+,118.13
3294,TCP11FOR,WD,5,-,0
3295,41843,ST,1,-,0
3296,ACA932C005AJ,ST,2,+,4.01
3297,TCP11C2,ST,1,+,300
3298,SSA512A025A,ST,1,+,148.5
3299,70392,ST,1,-,0
3300,38617455,ST,1,-,0
3301,ACA272C054,ST,1,+,38.48
3302,M3MSH-035,ST,2,-,0
3303,29375,ST,2,-,0
3304,41894,ST,1,-,0
3305,56855,ST,1,-,0
3306,SSA532A068,ST,10,-,0
3307,SSA532A068B,ST,5,+,16.9722
3308,ISU-3.1-S,ST,4,+,9
3309,TJD116A035B,ST,18,+,21.49
3310,TSJ621A004,ST,1,-,0
3311,B3NU1005,ST,21,+,32
3312,DSP-08,WD,12,-,0
3313,TD60D-EV,ST,2,-,0
3314,38623737,ST,10,+,20.25
3315,ACA221B038,ST,5,+,61.8125
3316,ACA221B038,ST,5,-,0
3317,S2/2GANGON/OFFSW,ST,1,-,0
3318,SSA925C051C,ST,40,-,0
3319,MIT-639-B,ST,2,+,43.49
3320,71922483,ST,8,-,0
3321,B2B28,ST,1,-,0
3322,60091S,ST,2,-,0
3323,71222172,ST,16,-,0
3324,B2B59,ST,1,-,0
3325,ACA272C054,ST,1,+,38.48
3326,ACA201A020,ST,7,+,200
3327,30020S,ST,11,-,0
3328,70829,ST,3,+,21.22
3329,ACA201A020,ST,1,+,200
3330,TCP11FOR,ST,2,+,2.49
3331,70332,ST,2,+,9.56
3332,31A8700010,ST,3,+,150
3333,MM433923,ST,8,+,68.5
3334,SSA925C058,ST,10,-,0
3335,31A1910020,ST,9,+,173.5
3336,SSA925C051P,ST,10,-,0
3337,56854,ST,4,-,0
3338,60091S,WD,3,-,0
3339,TSJ505A041D,ST,5,+,202.5
3340,10-22-778,ST,1,+,42.09
3341,SSA521A024B,ST,6,+,8.5
3342,105-353,ST,12,-,0
3343,DSP-08,WD,5,-,0
3344,31A1910020,ST,1,+,173.5
3345,B3NJ-208,ST,1,-,0
3346,B2B93,ST,7,-,0
3347,B36202-2RS,ST,19,-,0
3348,B36203-2RS,ST,3,-,0
3349,B3UC-205,ST,2,-,0
3350,549740,ST,1,-,0
3351,B2A61,ST,5,+,5.2
3352,B2A61,ST,5,-,0
3353,TD30DXB-1L2,ST,1,-,0
3354,E2415165W,ST,6,+,6
3355,SSA925C051C,DL,2,-,0
3356,JW1FSN-DC12V,ST,4,-,0
3357,TD22DXB-1L1,ST,1,-,0
3358,R50TS050-10,ST,15,-,0
3359,JW1FSN-DC24V,ST,4,-,0
3360,DSP-02,ST,101,+,1.56
3361,SSA512T037A,ST,10,-,0
3362,4013,ST,1,+,105.6
3363,ACA272C008,ST,1,+,128.385
3364,P1PCB24,ST,29,+,20.36
3365,SKB25/04,ST,42,+,9
3366,MIT-FE83/70-P,ST,5,+,46.04
3367,B2M46,ST,2,-,0
3368,ACA272C054,ST,1,+,38.48
3369,C3-TB25-6,ST,8,+,2.2
3370,38623738,ST,1,+,20.25
3371,38623738,ST,1,+,20.25
3372,SSA925C051C,ST,40,-,0
3373,SSA925C003A,ST,40,-,0
3374,SSA925C003A,ST,40,-,0
3375,127101,ST,4,+,14.45
3376,127101,ST,1,+,14.45
3377,67960,WD,1,-,0
3378,ACA223D003,ST,4,-,0
3379,38623737,ST,10,+,20.25
3380,DSP-01,ST,3,+,1.96
3381,C3-TB25-6,ST,4,-,0
3382,C3-TB25-6,ST,1,-,0
3383,C3-TB25-6,ST,1,-,0
3384,C3-TB25-6,ST,1,-,0
3385,C3-TB25-6,ST,1,-,0
3386,B36204-2RS,ST,22,-,0
3387,E2-C415ES24,ST,1,+,457.22
3388,ACA272C065,ST,1,+,34.425
3389,P1PCB24,ST,5,+,20.34
3390,C3-TB25-6,ST,5,-,0
3391,E2-A415ES12,ST,1,+,360.98
3392,E2-A415ES12,ST,4,+,265.98
3393,C3RN43200,ST,1,+,116
3394,MIT-FE83/70-P,ST,9,+,46.04
3395,MIT-FE83/70-S,ST,20,+,7.5
3396,TOY-EURO-B,ST,2,+,50
3397,B2B29,DL,1,+,3.6
3398,SSA431B091,ST,1,+,26.43
3399,ACA272C065,ST,5,+,86.39
3400,C3-TB25-6,ST,2,-,0
3401,E2-A230ES12,ST,1,+,205.43
3402,C3-TB25-6,ST,1,-,0
3403,E2-B415ES24,ST,1,+,394.82
3404,F15A125VAC,ST,8,-,0
3405,DSP-01,WD,1,-,0
3406,MIT-FE83-B,ST,10,+,50
3407,TCP11FOR,ST,20,+,2.5482
3408,SSA925C003D,DL,1,-,0
3409,78-1373,ST,1,+,195
3410,SSA431J016,ST,1,+,227.44
3411,ACA272C065,ST,3,+,132.3788
3412,ACA272C054,ST,1,+,38.48
3413,ACA272C054,ST,5,+,38.48
3414,SSA431J016,ST,3,+,227.44
3415,TJD435A004B,ST,1,+,153
3416,38623737,ST,10,+,20.25
3417,SSA923A626A,ST,3,-,0
3418,ACA272C054,ST,1,+,38.475
3419,SSA431J016,ST,2,+,227.44
3420,ACA272C054,ST,1,+,38.475
3421,MIT-FB70-B,ST,4,+,50
3422,230002,ST,12,+,7.6655
3423,119-WHITE-SIZE42,ST,1,-,0
3424,C3INGR390,ST,4,-,0
3425,C4K1000W,ST,3,-,0
3426,E2-A415ES24,ST,3,+,204.02
3427,B2A61,WD,1,-,0
3428,C7-8915-74,DL,2,-,0
3429,SSA431J016,ST,2,+,227.44
