1236-524,1236,MM438796,ST,-,1.0000
1236-525,1236,SAA512A072,ST,-,2.0000
1236-526,1236,SAA512A108,ST,-,1.0000
1236-528,1236,SAA512A130A,ST,-,1.0000
1236-529,1236,SSA324B014A,ST,+,1.0000
1236-530,1236,SSA352C002,ST,+,1.0000
1236-531,1236,SSA352F080C,ST,-,3.0000
1236-532,1236,SSA352F091,ST,+,1.0000
1236-533,1236,SSA356B209A,ST,+,2.0000
1236-534,1236,SSA357H031,ST,-,1.0000
1236-535,1236,SSA383B304A,ST,+,1.0000
1236-536,1236,SSA383B410,ST,-,1.0000
1236-537,1236,SSA383D007,ST,-,1.0000
1236-538,1236,SSA387B071B,ST,+,1.0000
1236-539,1236,SSA387B079,ST,+,2.0000
1236-540,1236,SSA387B099A,ST,+,1.0000
1236-541,1236,SSA387B114F,ST,-,1.0000
1236-542,1236,SSA387B121C,ST,-,1.0000
1236-543,1236,SSA431A031,ST,+,6.0000
1236-544,1236,SSA431A114,ST,+,3.0000
1236-545,1236,SSA431B091,ST,+,1.0000
1236-546,1236,SSA431J016,ST,-,1.0000
1236-547,1236,SSA512A015F,ST,-,1.0000
1236-548,1236,SSA512A015G,ST,+,1.0000
1236-549,1236,SSA512A024B,ST,+,1.0000
1236-550,1236,SSA512A025,ST,-,4.0000
1236-551,1236,SSA512A025A,ST,-,3.0000
1236-552,1236,SSA512K007,ST,+,2.0000
1236-553,1236,SSA512T037A,ST,-,2.0000
1236-554,1236,SSA521A021C,ST,-,10.0000
1236-555,1236,SSA521A245,ST,-,4.0000
1236-556,1236,SSA551A105,ST,-,2.0000
1236-557,1236,SSA556B010,ST,+,1.0000
1236-558,1236,SSA923A205,ST,-,3.0000
1236-559,1236,SSA923A232,ST,-,1.0000
1236-561,1236,SSA925A006,ST,-,6.0000
1236-563,1236,SSA925A046,ST,-,1.0000
1236-564,1236,SSA925C055G,ST,-,6.0000
1236-565,1236,SSA925C058,ST,-,2.0000
1236-568,1236,TCP11D2,ST,+,1.0000
1236-569,1236,TCP11F1,ST,+,8.0000
1236-570,1236,TCP11F2,ST,-,1.0000
1236-571,1236,TCP18C2-KT1,ST,-,2.0000
1236-572,1236,TCP18C2-KT2,ST,-,4.0000
1236-573,1236,TCP18H2,ST,-,3.0000
1236-574,1236,TCP24A-KT1,ST,+,3.0000
1236-575,1236,TJB301A003,ST,-,1.0000
1236-576,1236,TJB387G001,ST,-,1.0000
1236-577,1236,TJC116A033,ST,+,1.0000
1236-578,1236,TJD116A035B,ST,-,1.0000
1236-579,1236,TJD435A004A,ST,-,1.0000
1236-580,1236,TJD501A003N,ST,-,1.0000
1236-581,1236,TJF006A061J,ST,-,1.0000
1236-582,1236,TJF301A006C,ST,-,1.0000
1236-583,1236,TJF351A001F,ST,-,2.0000
1236-584,1236,TLB011B006,ST,-,1.0000
1236-585,1236,TLB271A003,ST,-,19.0000
1236-586,1236,TSJ423J007,ST,-,1.0000
1236-587,1236,TSJ437A002A,ST,-,4.0000
1236-588,1236,TSJ531B014A,ST,+,2.0000
1236-589,1236,ACA201A403A,ST,+,1.0000
1236-590,1236,ACA272C065,ST,-,1.0000
1237-591,1237,SSA941A021,ST,+,20.0000
1241-595,1241,020315730,ST,-,1.0000
1241-597,1241,035518614,ST,-,2.0000
1241-599,1241,038615900,ST,-,2.0000
1241-600,1241,038617455,ST,-,1.0000
1241-601,1241,038623737,ST,-,2.0000
1241-602,1241,070115766,ST,-,39.0000
1241-603,1241,070120783,ST,-,58.0000
1241-604,1241,070322203,ST,-,42.0000
1241-605,1241,070322206,ST,-,50.0000
1241-606,1241,070823074,ST,-,1.0000
1241-607,1241,071222172,ST,-,8.0000
1241-609,1241,071422430,ST,-,2.0000
1241-610,1241,071917304,ST,-,1.0000
1241-611,1241,071917306,ST,+,1.0000
1241-612,1241,071920618A,ST,-,33.0000
1241-613,1241,071920619A,ST,-,35.0000
1241-614,1241,071920622,ST,-,36.0000
1241-616,1241,071922042,ST,-,9.0000
1241-618,1241,072021425B,ST,-,7.0000
1241-622,1241,072301295,ST,-,8.0000
1241-623,1241,072301296,ST,+,2.0000
1241-625,1241,072421585B,ST,-,26.0000
1241-626,1241,127101,ST,-,11.0000
1241-627,1241,127301,ST,-,5.0000
1241-629,1241,204700,ST,+,12.0000
1241-630,1241,230002,ST,-,6.0000
1241-631,1241,30025S,ST,-,2.0000
1241-632,1241,30125,ST,+,2.0000
1241-634,1241,CO.200,ST,-,4.0000
1241-635,1241,CO.37H,ST,-,1.0000
1242-636,1242,70406S,ST,-,9.0000
1245-638,1245,30500,WP,-,1.0000
1246-639,1246,PA4279-2P,ST,+,1.0000
1246-640,1246,F4-AJ2-1/2,ST,+,1.0000
1247-641,1247,SSA431J016,WP,+,1.0000
1248-642,1248,072301295,ST,-,3.0000
1248-643,1248,072301296,ST,-,3.0000
1248-644,1248,072301288,ST,-,3.0000
