1067,B4IPB,1.0000
1067,B2B51,1.0000
1067,F4-AJ2,1.0000
1067,14-00326-04,1.0000
1067,FA60-60031,1.0000
1067,B2A53,1.0000
1067,TE204,1.0000
1067,B36204-2RS,1.0000
1067,SSA551A105,1.0000
1068,B2A54,1.0000
1069,C9-SC-03,5.0000
107,TCP11F2,1.0000
107,F1DN-163,1.0000
107,B2B58,1.0000
107,B36204-2RS,1.0000
107,SSA387B114F,1.0000
107,HCHOCL-SS1600,1.0000
1070,B2A36,1.0000
1070,31B8710021,1.0000
1070,TSJ423J007,2.0000
1070,31B0111022,1.0000
1071,SSA387B121C,1.0000
1071,B36204-2RS,1.0000
1071,SSA352F043,1.0000
1071,B3608-2RS,6.0000
1071,SAA512A103,1.0000
1071,F4-AJ2-1/2,1.0000
1071,HC4/81200BSF,1.0000
1071,VAAC,1.0000
1073,B2B57,2.0000
1073,B2B56,2.0000
1073,B2A35,1.0000
1073,B36204-2RS,4.0000
1073,30-00323-00,1.0000
1073,F5A8504-01,1.0000
1073,KHC-13,1.0000
1073,MM435190,1.0000
1073,30-00302-00,1.0000
1074,B2B54,1.0000
1074,B4IPB,1.0000
1074,F4-AJ3,1.0000
1075,HC4/81200BSF,1.0000
1075,068-3404,1.0000
1077,SSA431J014A,2.0000
1078,B2A43,1.0000
1078,R1FF14,1.0000
1078,HC4/81200BSF,1.0000
1079,F5-TU73-A,1.0000
1079,F5-TU73-O,1.0000
1079,MM408992L,1.0000
1079,MM435190,1.0000
1079,B2A27,1.0000
108,TCP11F1W,1.0000
108,SSA387B114F,1.0000
108,HCHOCL-SS1600,1.0000
108,F1DN-163,1.0000
108,B2A47,1.0000
108,B2A26,1.0000
108,B2A35,1.0000
108,B2A44,1.0000
108,B36203-2RS,1.0000
108,C7-35612-74,8.0000
1080,RER1G2R-1DC12,1.0000
1081,41-5784,1.0000
1081,60-60045,2.0000
1082,31B8710021,1.0000
1083,12745,1.0000
1084,TSJ006A004B,1.0000
1085,B2B59,1.0000
