109912003,"10FT BOX 99 MODEL (12V), SIZE: 3080L X 1700W X 1800HMM",INSULATION BOX,BOX,Active
109912004,"10FT BOX 99 MODEL (12V), SIZE: 3080L X 1700W X 1250HMM",INSULATION BOX,BOX,Active
109912004-100,"10FT BOX 99 MODEL (12V), SIZE: 3080L X 1700W X 1250H X 100TMM",INSULATION BOX,BOX,Active
109912005,"10FT BOX 99 MODEL (12V), SIZE: 3080L X 1700W X 1200HMM W/O REAR DOOR",INSULATION BOX,SET,Active
109912006,"10FT BOX 99 MODEL (12V), SIZE: 3080L X 1800W X 1900HMM",INSULATION BOX,BOX,Active
109912006-100,"10FT BOX 99 MODEL (12V), SIZE: 3080L X 1800W X 1900H X 100TMM",INSULATION BOX,BOX,Active
109912006-125,"10FT BOX 99 MODEL (12V), SIZE: 3080L X 1800W X 1900H X 125TMM",INSULATION BOX,BOX,Active
109912007,"10FT BOX 99 MODEL (12V), SIZE: 3080L X 1700W X 1700HMM",INSULATION BOX,BOX,Active
109912008,"10FT BOX 99 MODEL (12V), SIZE: 3080L X 1700W X 1850HMM",INSULATION BOX,BOX,Active
109912009,"10FT BOX 99 MODEL (12V), SIZE: 3080L X 1800W X 1800HMM",INSULATION BOX,BOX,Active
109912009-100,"10FT BOX 99 MODEL (12V), SIZE: 3080L X 1800W X 1800H X 100TMM",INSULATION BOX,BOX,Active
109912010,"10FT BOX 99 MODEL (12V), SIZE: 3080L X 1800W X 1200HMM",INSULATION BOX,BOX,Active
109912010-100,"10FT BOX 99 MODEL (12V), SIZE: 3080L X 1800W X 1200H X 100TMM",INSULATION BOX,BOX,Active
109912010F,"10FT BOX 99 MODEL (12V), SIZE: 3080L X 1800W X 1200HMM FULL HEIGHT WALL",INSULATION BOX,BOX,Active
109912011,"10FT BOX 99 MODEL (12V), SIZE: 3100L X 1800W X 1900HMM",INSULATION BOX,BOX,Active
109912011F,"10FT BOX 99 MODEL (12V), SIZE: 3100L X 1800W X 1900HMM FULL HEIGHT WALL",INSULATION BOX,BOX,Active
109912012,"10FT BOX 99 MODEL (12V), SIZE: 3100L X 1700W X 1200HMM",INSULATION BOX,BOX,Active
109912013,"10FT BOX 99 MODEL (12V), SIZE: 3200L X 1800W X 1200HMM",INSULATION BOX,BOX,Active
109912014,"10FT BOX 99 MODEL (12V), SIZE: 3080L X 1800W X 1700HMM",INSULATION BOX,BOX,Active
109912015-50,"10FT BOX 99 MODEL (12V), SIZE: 3100L X 1700W X 1250H X 50TMM",INSULATION BOX,BOX,Active
109912016,"10FT BOX 99 MODEL (12V), SIZE: 3080L X 1700W X 1150HMM",INSULATION BOX,BOX,Active
109912016F,"10FT BOX 99 MODEL (12V), SIZE: 3080L X 1700W X 1150HMM FULL HEIGHT WALL",INSULATION BOX,BOX,Active
109912017,"10FT BOX 99 MODEL (12V), SIZE: 3080L X 1700W X 1950HMM",INSULATION BOX,BOX,Active
109912018,"10FT BOX 99 MODEL (12V), SIZE: 3080L X 1700W X 1600HMM",INSULATION BOX,BOX,Active
109924001,"10FT BOX 99 MODEL (24V), SIZE: 3080L X 1700W X 1900HMM",INSULATION BOX,BOX,Active
109924001-100,"10FT BOX 99 MODEL (24V), SIZE: 3080L X 1700W X 1900H X 100TMM",INSULATION BOX,BOX,Active
109924001-125,"10FT BOX 99 MODEL (24V), SIZE: 3080L X 1700W X 1900H X 125TMM",INSULATION BOX,BOX,Active
109924001-150,"10FT BOX 99 MODEL (24V), SIZE: 3080L X 1700W X 1900H X 150TMM",INSULATION BOX,BOX,Active
109924001F,"10FT BOX 99 MODEL (24V), SIZE: 3080L X 1700W X 1900HMM FULL HEIGHT WALL",INSULATION BOX,BOX,Active
109924001F-125,"10FT BOX 99 MODEL (24V), SIZE: 3080L X 1700W X 1900H X 125TMM FULL HEIGHT WALL",INSULATION BOX,BOX,Active
109924002,"10FT BOX 99 MODEL (24V), SIZE: 3080L X 1700W X 1200HMM",INSULATION BOX,BOX,Active
109924002-100,"10FT BOX 99 MODEL (24V), SIZE: 3080L X 1700W X 1200H X 100TMM",INSULATION BOX,BOX,Active
109924002-125,"10FT BOX 99 MODEL (24V), SIZE: 3080L X 1700W X 1200H X 125TMM",INSULATION BOX,BOX,Active
109924002F-50X75,"10FT BOX 99 MODEL (24V), SIZE: 3080L X 1700W X 1200HMM FULL HEIGHT WALL (SIDEX50T,REST75)",INSULATION BOX,BOX,Active
109924003,"10FT BOX 99 MODEL (24V), SIZE: 3080L X 1700W X 1800HMM",INSULATION BOX,BOX,Active
109924004,"10FT BOX 99 MODEL (24V), SIZE: 3080L X 1700W X 1250HMM",INSULATION BOX,BOX,Active
109924004F,"10FT BOX 99 MODEL (12V), SIZE: 3080L X 1700W X 1250HMM FULL HEIGHT WALL",INSULATION BOX,BOX,Active
109924005,"10FT BOX 99 MODEL (24V), SIZE: 3080L X 1900W X 1900HMM",INSULATION BOX,BOX,Active
109924006,"10FT BOX 99 MODEL (24V), SIZE: 3080L X 1800W X 1900HMM",INSULATION BOX,BOX,Active
109924006-125,"10FT BOX 99 MODEL (24V), SIZE: 3080L X 1800W X 1900H X 125TMM",INSULATION BOX,BOX,Active
109924006-150,"10FT BOX 99 MODEL (24V), SIZE: 3080L X 1800W X 1900H X 150TMM",INSULATION BOX,BOX,Active
109924007,"10FT BOX 99 MODEL (24V), SIZE: 3080L X 1750W X 1200HMM",INSULATION BOX,BOX,Active
109924008,"10FT BOX 99 MODEL (24V), SIZE: 3080L X 1700W X 1700HMM",INSULATION BOX,BOX,Active
109924009,"10FT BOX 99 MODEL (24V), SIZE: 3080L X 1700W X 1150HMM",INSULATION BOX,BOX,Active
109924010-100,"10FT BOX 99 MODEL (24V), SIZE: 3080L X 1800W X 1200H X 100TMM",INSULATION BOX,BOX,Active
109924011,"10FT BOX 99 MODEL (24V), SIZE: 3080L X 1800W X 1800HMM",INSULATION BOX,BOX,Active
109924012,"10FT BOX 99 MODEL (24V), SIZE: 3080L X 1700W X 1950HMM",INSULATION BOX,BOX,Active
109924013,"10FT BOX 99 MODEL (24V), SIZE: 3150L X 1750W X 1850HMM",INSULATION BOX,BOX,Active
109924014F,"10FT BOX 99 MODEL (24V), SIZE: 3100L X 2000W X 1700HMM FULL HEIGHT WALL",INSULATION BOX,BOX,Active
10FT-CR-PARTITION-CHILLER-12V,10FT CARGO RAILING PARTITION FOR CHILLER COMPARTMENT-12V,DISCONTINUED,SET,Inactive
10FT-CR-PARTITION-CHILLER-24V,10FT CARGO RAILING PARTITION FOR CHILLER COMPARTMENT-24V,DISCONTINUED,SET,Inactive
10FT-CR-PARTITION-DRY-12V,10FT CARGO RAILING PARTITION FOR DRY COMPARTMENT-12V,DISCONTINUED,SET,Inactive
10FT-CR-PARTITION-DRY-24V,10FT CARGO RAILING PARTITION FOR DRY COMPARTMENT-24V,DISCONTINUED,SET,Inactive
10FT-FHA-PARTITION-CHILLER,10FT FHA MOVABLE PARTITION FOR CHILLER COMPARTMENT-12V,DISCONTINUED,SET,Inactive
10FT-FHA-PARTITION-CHILLER-24V,10FT FHA MOVABLE PARTITION FOR CHILLER COMPARTMENT-24V,DISCONTINUED,SET,Inactive
10FT-FHA-PARTITION-DRY-12V,10FT FHA MOVABLE PARTITION FOR DRY COMPARTMENT-12V,DISCONTINUED,SET,Inactive
10FT-FHA-PARTITION-DRY-24V,10FT FHA MOVABLE PARTITION FOR DRY COMPARTMENT-24V,DISCONTINUED,SET,Inactive
119712001,"11FT BOX 97 MODEL (12V), SIZE: 3350L X 1700W X 1900HMM (GHK)",INSULATION BOX,BOX,Active
119724001F,"11FT BOX 97 MODEL (24V), SIZE: 3300L X 2000W X 2000HMM FULL HEIGHT WALL",INSULATION BOX,BOX,Active
119912001-50,"11FT BOX 99 MODEL (12V), SIZE: 3300L X 1850W X 1250H X 50TMM",INSULATION BOX,BOX,Active
119924002,"11FT BOX 99 MODEL (24V), SIZE: 3300L X 1900W X 1900HMM",INSULATION BOX,BOX,Active
119924002F,"11FT BOX 99 MODEL (24V), SIZE: 3300L X 1900W X 1900HMM FULL HEIGHT WALL",INSULATION BOX,BOX,Active
119924003,"11FT BOX 99 MODEL (24V), SIZE: 3350L X 2100W X 2100HMM",INSULATION BOX,BOX,Active
129712001,"12FT BOX 97 MODEL (12V), SIZE: 3600L X 2000W X 2000HMM",INSULATION BOX,BOX,Active
129712002,"12FT BOX 97 MODEL (12V), SIZE: 3600L X 2000W X 2100HMM",INSULATION BOX,BOX,Active
129712003,"12FT BOX 97 MODEL (12V), SIZE: 3700L X 2160W X 2100HMM",INSULATION BOX,BOX,Active
129712004,"12FT BOX 97 MODEL (12V), SIZE: 3700L X 2250W X 2100HMM",INSULATION BOX,BOX,Active
129712005,"12FT BOX 97 MODEL (12V), SIZE: 3660L X 2100W X 2000HMM",INSULATION BOX,BOX,Active
129712006,"12FT BOX 97 MODEL (12V), SIZE: 3600L X 2100W X 2000HMM",INSULATION BOX,BOX,Active
129712007,"12FT BOX 97 MODEL (12V), SIZE: 3600L X 2000W X 1850HMM",INSULATION BOX,BOX,Active
129712007-125,"12FT BOX 97 MODEL (12V), SIZE: 3700L X 2100W X 2000H X 125TMM",INSULATION BOX,BOX,Active
129712008,"12FT BOX 97 MODEL (12V), SIZE: 3660L X 2100W X 1900HMM",INSULATION BOX,BOX,Active
129712009F,"12FT BOX 97 MODEL (12V), SIZE: 3670L X 2190W X 2020HMM FULL HEIGHT WALL",INSULATION BOX,BOX,Active
129712010,"12FT BOX 97 MODEL (12V), SIZE: 3700L X 2000W X 2000HMM",INSULATION BOX,BOX,Active
129712011,"12FT BOX 97 MODEL (12V), SIZE: 3600L X 1700W X 1900HMM (GHK)",INSULATION BOX,BOX,Active
129712012-125,"12FT BOX 97 MODEL (12V), SIZE: 3700L X 2100W X 2100H X 125TMM",INSULATION BOX,SET,Active
129712013F,"12FT BOX 97 MODEL (12V), SIZE: 3700L X 2100W X 2000HMM FULL HEIGHT WALL",INSULATION BOX,BOX,Active
129724001,"12FT BOX 97 MODEL (24V), SIZE: 3600L X 2000W X 2000HMM",INSULATION BOX,BOX,Active
129724002,"12FT BOX 97 MODEL (24V), SIZE: 3600L X 2000W X 2100HMM",INSULATION BOX,BOX,Active
129724002F,"12FT BOX 97 MODEL (24V), SIZE: 3600L X 2000W X 2100HMM FULL HEIGHT WALL",INSULATION BOX,BOX,Active
129724003,"12FT BOX 97 MODEL (24V), SIZE: 3600L X 2100W X 2100HMM",INSULATION BOX,BOX,Active
129724003F,"12FT BOX 97 MODEL (24V), SIZE: 3600L X 2100W X 2100HMM FULL HEIGHT WALL",INSULATION BOX,BOX,Active
129724005,"12FT BOX 97 MODEL (24V), SIZE: 3660L X 2100W X 2000HMM",INSULATION BOX,BOX,Active
129724006,"12FT BOX 97 MODEL (24V), SIZE: 3600L X 2060W X 2000HMM",INSULATION BOX,BOX,Active
129724007,"12FT BOX 97 MODEL (24V), SIZE: 3600L X 2100W X 2000HMM",INSULATION BOX,BOX,Active
129724007-100,"12FT BOX 97 MODEL (24V), SIZE: 3600L X 2100W X 2000H X 100TMM",INSULATION BOX,BOX,Active
129724007F,"12FT BOX 97 MODEL (24V), SIZE: 3600L X 2100W X 2000HMM FULL HEIGHT WALL",INSULATION BOX,BOX,Active
129724010,"12FT BOX 97 MODEL (24V), SIZE: 3700L X 2000W X 2000HMM",INSULATION BOX,BOX,Active
129724010F,"12FT BOX 97 MODEL (24V), SIZE: 3700L X 2000W X 2000HMM FULL HEIGHT WALL",INSULATION BOX,BOX,Active
129724012-100,"12FT BOX 97 MODEL (24V), SIZE: 3700L X 2100W X 2100H X 100TMM",INSULATION BOX,BOX,Active
129724012F,"12FT BOX 97 MODEL (24V), SIZE: 3700L X 2100W X 2100HMM FULL HEIGHT WALL",INSULATION BOX,BOX,Active
129724014,"12FT BOX 97 MODEL (24V), SIZE: 3600L X 1800W X 1800HMM X 100T (BOTTOM)  (MIT-AIR) (CKD)",INSULATION BOX,BOX,Active
129724015,"12FT BOX 97 MODEL (24V), SIZE: 3700L X 2030W X 2000HMM",INSULATION BOX,BOX,Active
129724016F,"12FT BOX 97 MODEL (24V), SIZE: 3670L X 2000W X 2020HMM FULL HEIGHT WALL",INSULATION BOX,BOX,Active
129724017F,"12FT BOX 97 MODEL (24V), SIZE: 3600L X 2100W X 2150HMM FULL HEIGHT WALL",INSULATION BOX,BOX,Active
129724018F,"12FT BOX 97 MODEL (24V), SIZE: 3700L X 2160W X 2100HMM FULL HEIGHT WALL",INSULATION BOX,BOX,Active
129724019F,"12FT BOX 97 MODEL (24V), SIZE: 3600L X 2100W X 2140HMM FULL HEIGHT WALL",INSULATION BOX,BOX,Active
129724020,"12FT BOX 97 MODEL (24V), SIZE: 3700L X 2100W X 2000HMM",INSULATION BOX,BOX,Active
129724020F,"12FT BOX 97 MODEL (24V), SIZE: 3700L X 2100W X 2000HMM FULL HEIGHT WALL",INSULATION BOX,BOX,Active
129912001,"12FT BOX 99 MODEL (12V), SIZE: 3600L X 2000W X 2000HMM",INSULATION BOX,BOX,Active
129912002,"12FT BOX 99 MODEL (12V), SIZE: 3600L X 2000W X 1950HMM",INSULATION BOX,BOX,Active
129912003,"12FT BOX 99 MODEL (12V), SIZE: 3600L X 2100W X 2100HMM",INSULATION BOX,BOX,Active
129912004,"12FT BOX 99 MODEL (12V), SIZE: 3700L X 2000W X 2000HMM",INSULATION BOX,BOX,Active
129912005,"12FT BOX 99 MODEL (12V), SIZE: 3600L X 2000W X 2100HMM",INSULATION BOX,BOX,Active
129924002,"12FT BOX 99 MODEL (24V), SIZE: 3600L X 2000W X 2000HMM",INSULATION BOX,BOX,Active
129924002F,"12FT BOX 99 MODEL (24V), SIZE: 3600L X 2000W X 2000HMM FULL HEIGHT WALL",INSULATION BOX,BOX,Active
129924003,"12FT BOX 99 MODEL (24V), SIZE: 3600L X 2160W X 2000HMM",INSULATION BOX,BOX,Active
129924005,"12FT BOX 99 MODEL (24V), SIZE: 3700L X 2000W X 2100HMM",INSULATION BOX,BOX,Active
129924006,"12FT BOX 99 MODEL (24V), SIZE: 3800L X 1896W X 1800HMM (MRU)",INSULATION BOX,BOX,Active
129924007,"12FT BOX 99 MODEL (24V), SIZE: 3600L X 2000W X 2100HMM",INSULATION BOX,BOX,Active
129924007F,"12FT BOX 99 MODEL (24V), SIZE: 3600L X 2000W X 2100HMM FULL HEIGHT WALL",INSULATION BOX,BOX,Active
129924008,"12FT BOX 99 MODEL (24V), SIZE: 3600L X 1800W X 1900HMM",INSULATION BOX,BOX,Active
129924009,"12FT BOX 99 MODEL (24V), SIZE: 3700L X 2000W X 2000HMM",INSULATION BOX,BOX,Active
129924010,"12FT BOX 99 MODEL (24V), SIZE: 3700L X 2000W X 1350HMM",INSULATION BOX,BOX,Active
129924010F,"12FT BOX 99 MODEL (24V), SIZE: 3700L X 2000W X 1350HMM FULL HEIGHT WALL",INSULATION BOX,BOX,Active
129924011,"12FT BOX 99 MODEL (24V), SIZE: 3660L X 2000W X 2000HMM",INSULATION BOX,BOX,Active
129924012-125,"12FT BOX 99 MODEL (24V), SIZE: 3600L X 2100W X 2100H X 125TMM",INSULATION BOX,SET,Active
129924013,"12FT BOX 99 MODEL (24V), SIZE: 3600L X 2000W X 1900HMM",INSULATION BOX,BOX,Active
129924014,"12FT BOX 99 MODEL (24V), SIZE: 3600L X 2000W X 2150HMM",INSULATION BOX,BOX,Active
129924015F,"12FT BOX 99 MODEL (24V), SIZE: 3600L X 2020W X 2100HMM FULL HEIGHT WALL",INSULATION BOX,BOX,Active
129924016,"12FT BOX 99 MODEL (24V), SIZE: 3600L X 2100W X 2000HMM",INSULATION BOX,BOX,Active
129924016F,"12FT BOX 99 MODEL (24V), SIZE: 3600L X 2100W X 2000HMM FULL HEIGHT WALL",INSULATION BOX,BOX,Active
129924017,"12FT BOX 99 MODEL (24V), SIZE: 3600L X 2100W X 2100HMM",INSULATION BOX,BOX,Active
129924018,"12FT BOX 99 MODEL (24V), SIZE: 3660L X 2100W X 2000HMM",INSULATION BOX,BOX,Active
129924019,"12FT BOX 99 MODEL (24V), SIZE: 3700L X 2100W X 2080HMM",INSULATION BOX,BOX,Active
129924020-100,"12FT BOX 99 MODEL (24V), SIZE: 3700L X 2100W X 2100H X 100TMM",INSULATION BOX,BOX,Active
